piece_title,composer,year_of_composition,era,piece_slug
"Tel jour, telle nuit, FP 86","Poulenc, Francis",1936-37,Early 20th century,poulenc-francis-tel-jour-telle-nuit-fp-86
"Suite pour piano, FP 19","Poulenc, Francis",1920; rev. 1926,Early 20th century,poulenc-francis-suite-pour-piano-fp-19
"Suite française d’après Claude Gervaise, FP 80","Poulenc, Francis",1935,Early 20th century,poulenc-francis-suite-franaise-daprs-claude-gervaise-fp-80
"Stabat Mater, FP 148","Poulenc, Francis",1950–51,Early 20th century,poulenc-francis-stabat-mater-fp-148
"Sonata for Piano Four Hands, FP 8","Poulenc, Francis","1918, rev. 1939",Early 20th century,poulenc-francis-sonata-for-piano-four-hands-fp-8
"Sonata for Horn, Trumpet and Trombone, FP 33a","Poulenc, Francis","1922, rev.1945",Early 20th century,poulenc-francis-sonata-for-horn-trumpet-and-trombone-fp-33a
"Sonata for Clarinet and Bassoon, FP 32a","Poulenc, Francis",1922 (rev.1945),Early 20th century,poulenc-francis-sonata-for-clarinet-and-bassoon-fp-32a
"Sonata for 2 Pianos, FP 156","Poulenc, Francis",1953,Early 20th century,poulenc-francis-sonata-for-2-pianos-fp-156
"Sonata for 2 Clarinets, FP 7","Poulenc, Francis",1918,Early 20th century,poulenc-francis-sonata-for-2-clarinets-fp-7
"Les soirées de Nazelles, FP 84","Poulenc, Francis",1930–36,Early 20th century,poulenc-francis-les-soires-de-nazelles-fp-84
"Sinfonietta, FP 141","Poulenc, Francis",1947-48,Early 20th century,poulenc-francis-sinfonietta-fp-141
"Sextet, FP 100","Poulenc, Francis",1932-39,Early 20th century,poulenc-francis-sextet-fp-100
"Sarabande pour guitare, FP 179","Poulenc, Francis",1960,Early 20th century,poulenc-francis-sarabande-pour-guitare-fp-179
"Salve Regina, FP 110","Poulenc, Francis",1941 May,Early 20th century,poulenc-francis-salve-regina-fp-110
"Rosemonde, FP 158","Poulenc, Francis",1954,Early 20th century,poulenc-francis-rosemonde-fp-158
"7 Répons des ténèbres, FP 181","Poulenc, Francis",1961,Early 20th century,poulenc-francis-7-rpons-des-tnbres-fp-181
"Rapsodie nègre, FP 3","Poulenc, Francis",1917; rev. 1933,Early 20th century,poulenc-francis-rapsodie-ngre-fp-3
"Promenades, FP 24","Poulenc, Francis","1921, rev. 1952",Early 20th century,poulenc-francis-promenades-fp-24
"Priez pour paix, FP 95","Poulenc, Francis",1938,Early 20th century,poulenc-francis-priez-pour-paix-fp-95
"Presto in B-flat major, FP 70","Poulenc, Francis",1934,Early 20th century,poulenc-francis-presto-in-bflat-major-fp-70
"Le portrait, FP 92","Poulenc, Francis",1938,Early 20th century,poulenc-francis-le-portrait-fp-92
"5 Poèmes de Pierre Ronsard, FP 38a","Poulenc, Francis",1924–25,Early 20th century,poulenc-francis-5-pomes-de-pierre-ronsard-fp-38a
"5 Poèmes de Paul Éluard, FP 77","Poulenc, Francis",1935,Early 20th century,poulenc-francis-5-pomes-de-paul-luard-fp-77
"5 Poèmes de Max Jacob, FP 59","Poulenc, Francis",1931,Early 20th century,poulenc-francis-5-pomes-de-max-jacob-fp-59
"4 Poèmes de Max Jacob, FP 22","Poulenc, Francis",1921,Early 20th century,poulenc-francis-4-pomes-de-max-jacob-fp-22
"3 Poèmes de Louise Lalanne, FP 57","Poulenc, Francis",1931,Early 20th century,poulenc-francis-3-pomes-de-louise-lalanne-fp-57
"3 Poèmes de Louise de Vilmorin, FP 91","Poulenc, Francis",1937,Early 20th century,poulenc-francis-3-pomes-de-louise-de-vilmorin-fp-91
"2 Poèmes de Guillaume Apollinaire, FP 94","Poulenc, Francis",1938,Early 20th century,poulenc-francis-2-pomes-de-guillaume-apollinaire-fp-94
"4 Poèmes de Guillaume Apollinaire, FP 58","Poulenc, Francis",1931,Early 20th century,poulenc-francis-4-pomes-de-guillaume-apollinaire-fp-58
"3 Pièces, FP 48","Poulenc, Francis","1917–28, rev. 1953",Early 20th century,poulenc-francis-3-pices-fp-48
"Pièce brève sur le nom d’Albert Roussel, FP 50","Poulenc, Francis",1929,Early 20th century,poulenc-francis-pice-brve-sur-le-nom-dalbert-roussel-fp-50
"Piano Concerto, FP 146","Poulenc, Francis",1949,Early 20th century,poulenc-francis-piano-concerto-fp-146
"4 Petites prières de Saint-François d'Assise, FP 142","Poulenc, Francis",1948 August,Early 20th century,poulenc-francis-4-petites-prires-de-saintfranois-dassise-fp-142
"Paul et Virginie, FP 132","Poulenc, Francis",1946,Early 20th century,poulenc-francis-paul-et-virginie-fp-132
"Pastourelle, FP 45","Poulenc, Francis",1927,Early 20th century,poulenc-francis-pastourelle-fp-45
"Parisiana, FP 157","Poulenc, Francis",1954,Early 20th century,poulenc-francis-parisiana-fp-157
"Organ Concerto, FP 93","Poulenc, Francis",1938,Early 20th century,poulenc-francis-organ-concerto-fp-93
"Oboe Sonata, FP 185","Poulenc, Francis",1962,Early 20th century,poulenc-francis-oboe-sonata-fp-185
"3 Novelettes, FP 47/173","Poulenc, Francis",1927–28 (rev.1939)/1958–59,Early 20th century,poulenc-francis-3-novelettes-fp-47173
"8 Nocturnes, FP 56","Poulenc, Francis",1930–38,Early 20th century,poulenc-francis-8-nocturnes-fp-56
"Napoli, FP 40","Poulenc, Francis",1922–25,Early 20th century,poulenc-francis-napoli-fp-40
"Mouvements perpétuels, FP 14a","Poulenc, Francis","1918; rev. 1939, 1962",Early 20th century,poulenc-francis-mouvements-perptuels-fp-14a
"4 Motets pour un temps de pénitence, FP 97","Poulenc, Francis",1938–39,Early 20th century,poulenc-francis-4-motets-pour-un-temps-de-pnitence-fp-97
"4 Motets pour le temps de Noël, FP 152","Poulenc, Francis",1951/52,Early 20th century,poulenc-francis-4-motets-pour-le-temps-de-nol-fp-152
"Miroirs brûlants, FP 98","Poulenc, Francis",1938,Early 20th century,poulenc-francis-miroirs-brlants-fp-98
"Métamorphoses, FP 121","Poulenc, Francis",1943,Early 20th century,poulenc-francis-mtamorphoses-fp-121
"2 Mélodies, FP 162","Poulenc, Francis",1956,Early 20th century,poulenc-francis-2-mlodies-fp-162
"2 Mélodies, FP 131","Poulenc, Francis",1946,Early 20th century,poulenc-francis-2-mlodies-fp-131
"2 Mélodies de Guillaume Apollinaire, FP 127","Poulenc, Francis",1941-45,Early 20th century,poulenc-francis-2-mlodies-de-guillaume-apollinaire-fp-127
"Mélancolie, FP 105","Poulenc, Francis",1940,Early 20th century,poulenc-francis-mlancolie-fp-105
"Mazurka, FP 145","Poulenc, Francis",1949,Early 20th century,poulenc-francis-mazurka-fp-145
"Mass in G major, FP 89","Poulenc, Francis",1937 August,Early 20th century,poulenc-francis-mass-in-g-major-fp-89
"Nocturne No.7, Op.74","Fauré, Gabriel",1898,Romantic,faur-gabriel-nocturne-no7-op74
"Nocturne No.6, Op.63","Fauré, Gabriel",1894,Romantic,faur-gabriel-nocturne-no6-op63
"Nocturne No.5, Op.37","Fauré, Gabriel",1884,Romantic,faur-gabriel-nocturne-no5-op37
"Nocturne No.4, Op.36","Fauré, Gabriel",1884,Romantic,faur-gabriel-nocturne-no4-op36
"La naissance de Vénus, Op.29","Fauré, Gabriel",1882,Romantic,faur-gabriel-la-naissance-de-vnus-op29
"2 Motets, Op.65","Fauré, Gabriel",1894,Romantic,faur-gabriel-2-motets-op65
Morceau de Concours for Violin and Piano,"Fauré, Gabriel",1903 (July),Romantic,faur-gabriel-morceau-de-concours-for-violin-and-piano
Morceau de Concours for Flute and Piano,"Fauré, Gabriel",1898 (July),Romantic,faur-gabriel-morceau-de-concours-for-flute-and-piano
Morceau de Concours for 2 Cellos,"Fauré, Gabriel",1897,Romantic,faur-gabriel-morceau-de-concours-for-2-cellos
"Mirages, Op.113","Fauré, Gabriel",1919,Romantic,faur-gabriel-mirages-op113
Messe basse,"Fauré, Gabriel",1881,Romantic,faur-gabriel-messe-basse
"5 Mélodies, Op.58","Fauré, Gabriel",1891,Romantic,faur-gabriel-5-mlodies-op58
"4 Mélodies, Op.51","Fauré, Gabriel",1888 (Nos.1-3)1890 (No.4),Romantic,faur-gabriel-4-mlodies-op51
"2 Mélodies, Op.46","Fauré, Gabriel",1887,Romantic,faur-gabriel-2-mlodies-op46
"Mazurka, Op.32","Fauré, Gabriel",1875,Romantic,faur-gabriel-mazurka-op32
"Masques et Bergamasques, suite, Op.112","Fauré, Gabriel",1919,Romantic,faur-gabriel-masques-et-bergamasques-suite-op112
"Madrigal, Op.35","Fauré, Gabriel",1883,Romantic,faur-gabriel-madrigal-op35
"Le jardin clos, Op.106","Fauré, Gabriel",1914,Romantic,faur-gabriel-le-jardin-clos-op106
"Impromptu No.6, Op.86","Fauré, Gabriel",1904,Romantic,faur-gabriel-impromptu-no6-op86
"Impromptu No.5, Op.102","Fauré, Gabriel",1908–09,Romantic,faur-gabriel-impromptu-no5-op102
"Impromptu No.4, Op.91","Fauré, Gabriel",1905,Romantic,faur-gabriel-impromptu-no4-op91
"Impromptu No.3, Op.34","Fauré, Gabriel",1883,Romantic,faur-gabriel-impromptu-no3-op34
"Impromptu No.2, Op.31","Fauré, Gabriel",1883,Romantic,faur-gabriel-impromptu-no2-op31
"Impromptu No.1, Op.25","Fauré, Gabriel",1881,Romantic,faur-gabriel-impromptu-no1-op25
"Hymne à Apollon, Op.63bis","Fauré, Gabriel",1894 (revised 1914),Romantic,faur-gabriel-hymne--apollon-op63bis
"L'horizon chimérique, Op.118","Fauré, Gabriel",1921,Romantic,faur-gabriel-lhorizon-chimrique-op118
"Fantaisie, Op.111","Fauré, Gabriel","1918, Evian",Romantic,faur-gabriel-fantaisie-op111
"Fantaisie, Op.79","Fauré, Gabriel",1898,Romantic,faur-gabriel-fantaisie-op79
Esquisse d'une fugue,"Fauré, Gabriel",1864 ca.,Romantic,faur-gabriel-esquisse-dune-fugue
En prière,"Fauré, Gabriel",1890,Romantic,faur-gabriel-en-prire
"Elegy, Op.24","Fauré, Gabriel",1883 (cello and piano),Romantic,faur-gabriel-elegy-op24
"Ecce fidelis servus, Op.54","Fauré, Gabriel",1889,Romantic,faur-gabriel-ecce-fidelis-servus-op54
"2 Duets, Op.10","Fauré, Gabriel",1873,Romantic,faur-gabriel-2-duets-op10
"Le don silencieux, Op.92","Fauré, Gabriel",1906,Romantic,faur-gabriel-le-don-silencieux-op92
"Dolly Suite, Op.56","Fauré, Gabriel",1892-94,Romantic,faur-gabriel-dolly-suite-op56
"Les Djinns, Op.12","Fauré, Gabriel",1875,Romantic,faur-gabriel-les-djinns-op12
"Chanson, Op.94","Fauré, Gabriel",1906,Romantic,faur-gabriel-chanson-op94
"La chanson d'Ève, Op.95","Fauré, Gabriel",1906-10,Romantic,faur-gabriel-la-chanson-dve-op95
"Cello Sonata No.2, Op.117","Fauré, Gabriel",1921,Romantic,faur-gabriel-cello-sonata-no2-op117
"Cello Sonata No.1, Op.109","Fauré, Gabriel",1917,Romantic,faur-gabriel-cello-sonata-no1-op109
"Cantique de Jean Racine, Op.11","Fauré, Gabriel",1865,Romantic,faur-gabriel-cantique-de-jean-racine-op11
"Caligula, Op.52","Fauré, Gabriel",1888,Romantic,faur-gabriel-caligula-op52
"C'est la paix, Op.114","Fauré, Gabriel",1919,Romantic,faur-gabriel-cest-la-paix-op114
"La bonne chanson, Op.61","Fauré, Gabriel",1892-94,Romantic,faur-gabriel-la-bonne-chanson-op61
"Berceuse, Op.16","Fauré, Gabriel",1878-79,Romantic,faur-gabriel-berceuse-op16
"Barcarolle No.13, Op.116","Fauré, Gabriel",1921,Romantic,faur-gabriel-barcarolle-no13-op116
"Barcarolle No.12, Op.106bis","Fauré, Gabriel",1915,Romantic,faur-gabriel-barcarolle-no12-op106bis
"Barcarolle No.11, Op.105","Fauré, Gabriel",1913-14,Romantic,faur-gabriel-barcarolle-no11-op105
"Barcarolle No.9, Op.101","Fauré, Gabriel",1908-09,Romantic,faur-gabriel-barcarolle-no9-op101
"Barcarolle No.8, Op.96","Fauré, Gabriel",1906,Romantic,faur-gabriel-barcarolle-no8-op96
"Barcarolle No.7, Op.90","Fauré, Gabriel",1905,Romantic,faur-gabriel-barcarolle-no7-op90
"Barcarolle No.6, Op.70","Fauré, Gabriel",1896,Romantic,faur-gabriel-barcarolle-no6-op70
"Barcarolle No.5, Op.66","Fauré, Gabriel",1894,Romantic,faur-gabriel-barcarolle-no5-op66
"Barcarolle No.4, Op.44","Fauré, Gabriel",1886,Romantic,faur-gabriel-barcarolle-no4-op44
"Barcarolle No.3, Op.42","Fauré, Gabriel",1885,Romantic,faur-gabriel-barcarolle-no3-op42
"Barcarolle No.2, Op.41","Fauré, Gabriel",1885,Romantic,faur-gabriel-barcarolle-no2-op41
"Barcarolle No.1, Op.26","Fauré, Gabriel",1881?,Romantic,faur-gabriel-barcarolle-no1-op26
"Ballade, Op.19","Fauré, Gabriel","1877-79, orch. 1881",Romantic,faur-gabriel-ballade-op19
"Ave Maria, Op.93","Fauré, Gabriel",1906,Romantic,faur-gabriel-ave-maria-op93
Ave Maria in A major,"Fauré, Gabriel",1871 (August),Romantic,faur-gabriel-ave-maria-in-a-major
L'aurore s'allume,"Fauré, Gabriel",1870 ca.,Romantic,faur-gabriel-laurore-sallume
"Andante, Op.75","Fauré, Gabriel",1897,Romantic,faur-gabriel-andante-op75
"Allegro symphonique, Op.68","Fauré, Gabriel",1865–74,Romantic,faur-gabriel-allegro-symphonique-op68
"Nocturne No.9, Op.97","Fauré, Gabriel",1908,Romantic,faur-gabriel-nocturne-no9-op97
"Nocturne No.10, Op.99","Fauré, Gabriel",1908,Romantic,faur-gabriel-nocturne-no10-op99
"Nocturne No.12, Op.107","Fauré, Gabriel",1915,Romantic,faur-gabriel-nocturne-no12-op107
"Nocturne No.13, Op.119","Fauré, Gabriel",1921,Romantic,faur-gabriel-nocturne-no13-op119
"3 Nocturnes, Op.33","Fauré, Gabriel","1875, 1881, 1883",Romantic,faur-gabriel-3-nocturnes-op33
Noël d'enfants,"Fauré, Gabriel",1890,Romantic,faur-gabriel-nol-denfants
"Papillon, Op.77","Fauré, Gabriel",1884,Romantic,faur-gabriel-papillon-op77
"Pavane, Op.50","Fauré, Gabriel",1887,Romantic,faur-gabriel-pavane-op50
"Pelléas et Mélisande, Op.80","Fauré, Gabriel",1898,Romantic,faur-gabriel-pellas-et-mlisande-op80
Pénélope,"Fauré, Gabriel",1907–13,Romantic,faur-gabriel-pnlope
Petite Fugue,"Fauré, Gabriel",1869,Romantic,faur-gabriel-petite-fugue
"Piano Quartet No.1, Op.15","Fauré, Gabriel","1876–79, revised 1883 (new finale)",Romantic,faur-gabriel-piano-quartet-no1-op15
"Piano Quartet No.2, Op.45","Fauré, Gabriel",1886,Romantic,faur-gabriel-piano-quartet-no2-op45
"Piano Quintet No.1, Op.89","Fauré, Gabriel","1890–94, 1903–1905",Romantic,faur-gabriel-piano-quintet-no1-op89
"Piano Quintet No.2, Op.115","Fauré, Gabriel",1919–21,Romantic,faur-gabriel-piano-quintet-no2-op115
"Piano Trio, Op.120","Fauré, Gabriel",1922–23,Romantic,faur-gabriel-piano-trio-op120
"8 Pièces brèves, Op.84","Fauré, Gabriel",1869–1902,Romantic,faur-gabriel-8-pices-brves-op84
"2 Pieces, Op.104","Fauré, Gabriel",1913,Romantic,faur-gabriel-2-pieces-op104
"Pleurs d'or, Op.72","Fauré, Gabriel",1896 (Spring),Romantic,faur-gabriel-pleurs-dor-op72
"Poème d'un jour, Op.21","Fauré, Gabriel",1878,Romantic,faur-gabriel-pome-dun-jour-op21
Prelude and Fugue,"Fauré, Gabriel",1869,Romantic,faur-gabriel-prelude-and-fugue
"9 Préludes, Op.103","Fauré, Gabriel",1909–10,Romantic,faur-gabriel-9-prludes-op103
"Prométhée, Op.82","Fauré, Gabriel",1900 (February – July),Romantic,faur-gabriel-promthe-op82
"Le ruisseau, Op.22","Fauré, Gabriel",1881,Romantic,faur-gabriel-le-ruisseau-op22
"3 Romances sans paroles, Op.17","Fauré, Gabriel",1863 ca.,Romantic,faur-gabriel-3-romances-sans-paroles-op17
"Romance, Op.69","Fauré, Gabriel",1894,Romantic,faur-gabriel-romance-op69
"Romance, Op.28","Fauré, Gabriel",1883,Romantic,faur-gabriel-romance-op28
"Requiem, Op.48","Fauré, Gabriel","1877, 1887–93",Romantic,faur-gabriel-requiem-op48
Sérénade du Bourgeois gentilhomme,"Fauré, Gabriel",1893,Romantic,faur-gabriel-srnade-du-bourgeois-gentilhomme
"Sérénade, Op.98","Fauré, Gabriel",1908?,Romantic,faur-gabriel-srnade-op98
"Shylock, suite, Op.57","Fauré, Gabriel",1889,Romantic,faur-gabriel-shylock-suite-op57
"Sicilienne, Op.78","Fauré, Gabriel",1893,Romantic,faur-gabriel-sicilienne-op78
"2 Songs, Op.1","Fauré, Gabriel","1861 (No.1), 1862? (No.2)",Romantic,faur-gabriel-2-songs-op1
"2 Songs, Op.2","Fauré, Gabriel","1865 ca. (No.1), 1870 ca. (No.2)",Romantic,faur-gabriel-2-songs-op2
"2 Songs, Op.3","Fauré, Gabriel","1871 (No.1), 1878? (No.2)",Romantic,faur-gabriel-2-songs-op3
"2 Songs, Op.4","Fauré, Gabriel","1870 (No.2), 1872? (No.1)",Romantic,faur-gabriel-2-songs-op4
"3 Songs, Op.5","Fauré, Gabriel","1871 ca. (No.1), 1862? (No.2), 1871 (No.3)",Romantic,faur-gabriel-3-songs-op5
"3 Songs, Op.6","Fauré, Gabriel","1873 ca. (Nos.1-2), 1878 (No.3)",Romantic,faur-gabriel-3-songs-op6
"3 Songs, Op.7","Fauré, Gabriel","1877 (No.1), 1870? (No.2), 1873 (No.3)",Romantic,faur-gabriel-3-songs-op7
"3 Songs, Op.8","Fauré, Gabriel","1875 (No.1), 1871? (No.2), 1874? (No.3)",Romantic,faur-gabriel-3-songs-op8
"3 Songs, Op.18","Fauré, Gabriel",1878,Romantic,faur-gabriel-3-songs-op18
"3 Songs, Op.23","Fauré, Gabriel",1879,Romantic,faur-gabriel-3-songs-op23
"2 Songs, Op.27","Fauré, Gabriel",1882,Romantic,faur-gabriel-2-songs-op27
"4 Songs, Op.39","Fauré, Gabriel",1884,Romantic,faur-gabriel-4-songs-op39
"2 Songs, Op.43","Fauré, Gabriel","1885 (No.1), 1886 (No.2)",Romantic,faur-gabriel-2-songs-op43
"2 Songs, Op.47","Fauré, Gabriel","1887 (No.1), 1888 (No.2)",Romantic,faur-gabriel-2-songs-op47
"2 Songs, Op.67","Fauré, Gabriel","1894-95 (No.2), 1895 (No.1)",Romantic,faur-gabriel-2-songs-op67
"2 Songs, Op.76","Fauré, Gabriel",1897,Romantic,faur-gabriel-2-songs-op76
"2 Songs, Op.83","Fauré, Gabriel",1894,Romantic,faur-gabriel-2-songs-op83
"3 Songs, Op.85","Fauré, Gabriel",1902,Romantic,faur-gabriel-3-songs-op85
"2 Songs, Op.87","Fauré, Gabriel",1904,Romantic,faur-gabriel-2-songs-op87
"String Quartet, Op.121","Fauré, Gabriel",1923 September – 1924 September,Romantic,faur-gabriel-string-quartet-op121
Super flumina,"Fauré, Gabriel",1863,Romantic,faur-gabriel-super-flumina
Tantum ergo sacramentum,"Fauré, Gabriel",1904,Romantic,faur-gabriel-tantum-ergo-sacramentum
"Tantum ergo, Op.55","Fauré, Gabriel",1890 ca.,Romantic,faur-gabriel-tantum-ergo-op55
"Thème et variations, Op.73","Fauré, Gabriel",1895,Romantic,faur-gabriel-thme-et-variations-op73
Tristesse d'Olympio,"Fauré, Gabriel",1865 ca.,Romantic,faur-gabriel-tristesse-dolympio
Tu es Petrus,"Fauré, Gabriel",1872,Romantic,faur-gabriel-tu-es-petrus
"Une châtelaine en sa tour, Op.110","Fauré, Gabriel",1918,Romantic,faur-gabriel-une-chtelaine-en-sa-tour-op110
"Valse-Caprice No.1, Op.30","Fauré, Gabriel",1882?,Romantic,faur-gabriel-valsecaprice-no1-op30
"Valse-Caprice No.2, Op.38","Fauré, Gabriel",1884,Romantic,faur-gabriel-valsecaprice-no2-op38
"Valse-Caprice No.3, Op.59","Fauré, Gabriel",1887–93,Romantic,faur-gabriel-valsecaprice-no3-op59
"Valse-Caprice No.4, Op.62","Fauré, Gabriel",1893–94,Romantic,faur-gabriel-valsecaprice-no4-op62
Vieille chanson,"Fauré, Gabriel",,Romantic,faur-gabriel-vieille-chanson
"Violin Concerto, Op.14","Fauré, Gabriel",1878-79,Romantic,faur-gabriel-violin-concerto-op14
"Violin Sonata No.1, Op.13","Fauré, Gabriel",1875-76,Romantic,faur-gabriel-violin-sonata-no1-op13
"Violin Sonata No.2, Op.108","Fauré, Gabriel",1916 summer,Romantic,faur-gabriel-violin-sonata-no2-op108
Vocalise-étude,"Fauré, Gabriel",1906,Romantic,faur-gabriel-vocalisetude
Fantaisie No.1,"Saint-Saëns, Camille",1857,Romantic,saintsans-camille-fantaisie-no1
"Fantaisie for Violin and Harp, Op.124","Saint-Saëns, Camille",1907,Romantic,saintsans-camille-fantaisie-for-violin-and-harp-op124
Extase,"Saint-Saëns, Camille",1860 ca.,Romantic,saintsans-camille-extase
"6 Études, Op.111","Saint-Saëns, Camille",1892,Romantic,saintsans-camille-6-tudes-op111
"6 Études, Op.52","Saint-Saëns, Camille",1877,Romantic,saintsans-camille-6-tudes-op52
